last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,05#338,05,유럽,5,우즈베키스탄,1306,278,05#338,43,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#312,05,유럽,5,이탈리아,1831,334,05#312,93,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#326,05,유럽,5,체코,528,125,05#326,28,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#149,05,유럽,5,카자흐스탄,1055,104,05#149,39,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#136,05,유럽,5,튀르키예,1425,360,05#136,92,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#329,05,유럽,5,폴란드,41,83,05#329,21,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#307,05,유럽,5,프랑스,2544,389,05#307,82,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#306,05,유럽,5,핀란드,13,156,05#306,29,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#227_01,06,대양주,6,괌,1166,573,06#227_01,313,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#407,06,대양주,6,뉴질랜드,727,89,06#407,22,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#227_00,06,대양주,6,사이판,3373,258,06#227_00,143,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#415,06,대양주,6,팔라우,702,32,06#415,18,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#403,06,대양주,6,피지,1221,40,06#403,13,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#227_02,06,대양주,6,하와이,3223,376,06#227_02,112,201804,2018,4,정기-환승여객-출발
,,,,,,,,06#401,06,대양주,6,호주,1898,327,06#401,77,201804,2018,4,정기-환승여객-출발
,,,,,,,,07#144,07,기타,7,아랍에미레이트,1053,548,07#144,94,201804,2018,4,정기-환승여객-출발
,,,,,,,,07#508,07,기타,7,에티오피아,62,40,07#508,17,201804,2018,4,정기-환승여객-출발
,,,,,,,,07#114,07,기타,7,이스라엘,1466,54,07#114,12,201804,2018,4,정기-환승여객-출발
,,,,,,,,07#130,07,기타,7,카타르,183,186,07#130,51,201804,2018,4,정기-환승여객-출발
,,,,,,,,07#118,07,기타,7,한국,0,0,,,201804,2018,4,정기-환승여객-출발
,,,,,,,,,,전체 합계,0,,228186,44390,총계,20193,201805,2018,5,정기-환승여객-출발
,,,,,,,,01#115,01,일본,1,일본,33201,7259,01#115,5040,201805,2018,5,정기-환승여객-출발
,,,,,,,,02#141,02,중국,2,중국,30045,9394,02#141,4830,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#125,03,아시아,3,네팔,440,55,03#125,13,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#107,03,아시아,3,대만,2582,2074,03#107,829,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#120,03,아시아,3,라오스,651,171,03#120,130,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#122,03,아시아,3,마카오,90,234,03#122,186,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#123,03,아시아,3,말레이시아,639,877,03#123,371,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#124,03,아시아,3,몰디브공화국,85,13,03#124,14,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#143,03,아시아,3,몽골,2266,284,03#143,70,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#106,03,아시아,3,미얀마,634,89,03#106,31,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#137,03,아시아,3,베트남,12740,3366,03#137,1699,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#105,03,아시아,3,브루나이,1,7,03#105,9,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#133,03,아시아,3,스리랑카,180,39,,,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#132,03,아시아,3,싱가포르,2023,860,03#132,279,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#110,03,아시아,3,인도,1469,147,03#110,75,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#111,03,아시아,3,인도네시아,2215,511,03#111,150,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#142,03,아시아,3,캄보디아,1638,192,03#142,96,201805,2018,5,정기-환승여객-출발
,,,,,,,,03#135,03,아시아,3,태국,8826,2091,03#135,837,201805,2018,5,정기-환승여객-출발
